"round","question_number","difficulty","question_text","option_a","option_b","option_c","option_d","correct_answer","image_url","category"
"3","5","easy","What 1994 Disney animated film features the songs ""Circle of Life"" and ""Hakuna Matata""?","Aladdin","Pocahontas","The Lion King","Mulan","C","","Movie Soundtracks"
"3","6","easy","Which 1986 Top Gun hit song, performed by Kenny Loggins, accompanied the film's famous aerial sequences?","Take My Breath Away","Mighty Wings","Playing with the Boys","Danger Zone","D","","Movie Soundtracks"
"3","7","medium","Which Eminem song from the 8 Mile soundtrack became the first hip-hop song to win the Oscar for Best Original Song?","Without Me","Lose Yourself","The Real Slim Shady","Stan","B","","Movie Soundtracks"
"3","8","medium","Which band recorded the 1982 Rocky III theme song ""Eye of the Tiger"" at Sylvester Stallone's request?","Survivor","Foreigner","Journey","REO Speedwagon","A","","Movie Soundtracks"
"3","9","medium","Prince wrote and starred in which 1984 film featuring his hit ""When Doves Cry""?","Sign o' the Times","Purple Rain","Under the Cherry Moon","Graffiti Bridge","B","","Movie Soundtracks"
"3","10","medium","Who performed the Oscar-winning song ""Let It Go"" in the 2013 Disney animated film Frozen?","Adele Dazeem","Kristen Bell","Demi Lovato","Idina Menzel","D","","Movie Soundtracks"
"3","11","medium","Simple Minds recorded ""Don't You (Forget About Me)"" for which iconic 1985 John Hughes film?","Ferris Bueller's Day Off","Pretty in Pink","The Breakfast Club","Sixteen Candles","C","","Movie Soundtracks"
"3","12","medium","Which 2013 Pharrell Williams song, featured in Despicable Me 2, became the best-selling song of that year?","Blurred Lines","Get Lucky","Happy","Freedom","C","","Movie Soundtracks"
"3","13","medium","Which composer, known for his Steven Spielberg collaborations, scored the film Jaws?","Danny Elfman","Hans Zimmer","Howard Shore","John Williams","D","","Movie Soundtracks"
"3","14","medium","Quentin Tarantino's 1992 film Reservoir Dogs famously used which Stealers Wheel song during a brutal torture scene?","Magic Carpet Ride","Stuck in the Middle with You","Hooked on a Feeling","Little Green Bag","B","","Movie Soundtracks"
"3","15","medium","Which 2018 Lady Gaga and Bradley Cooper duet from A Star Is Born won the Oscar for Best Original Song?","Always Remember Us This Way","Shallow","Maybe It's Time","I'll Never Love Again","B","","Movie Soundtracks"
"4","1","easy","""The wheels on the bus go..."" what?","Back and forth","Round and round","Side to side","Up and down","B","","Classroom Classics"
"4","2","easy","In ""Old MacDonald Had a Farm,"" what letters does he spell out?","Y-E-E-H-A","A-B-C-D-E","O-L-D-M-C","E-I-E-I-O","D","","Classroom Classics"
"4","3","easy","In ""Twinkle, Twinkle, Little Star,"" the star is compared to what precious gem in the sky?","A ruby","A crystal","A diamond","A pearl","C","","Classroom Classics"
"4","4","easy","In ""Head, Shoulders, Knees and Toes,"" what four body parts are named after ""knees and toes""?","Eyes, nose, lips, ears","Eyes, ears, mouth, nose","Hands, feet, arms, legs","Hair, face, teeth, chin","B","","Classroom Classics"
"4","5","easy","In a classic preschool song, what action do you take to show you're happy, besides stomping your feet and shouting hooray?","Spin around","Jump up high","Wave your arms","Clap your hands","D","","Classroom Classics"
"4","6","easy","In ""Five Little Monkeys,"" what are the monkeys doing when they fall off and bump their heads?","Dancing around","Swinging on trees","Climbing a ladder","Jumping on the bed","D","","Classroom Classics"
"4","7","medium","What song did Fred Rogers use to open every episode of ""Mister Rogers' Neighborhood""?","It's a Beautiful Day","Good Morning, Friends","Hello, Neighbor","Won't You Be My Neighbor?","D","","Classroom Classics"
"4","8","medium","Which viral children's song, popularized by Pinkfong in 2016, features the repeated refrain ""doo doo doo doo doo doo""?","Baby Shark","Five Little Ducks","Finger Family","Johny Johny Yes Papa","A","","Classroom Classics"
"4","9","medium","In ""The Itsy Bitsy Spider,"" what happens after the rain washes the spider out?","Out came the sun","The spider hid","The spider fell asleep","Then came the wind","A","","Classroom Classics"
"4","10","medium","Which animated platform, with brain-break videos like ""Pop See Ko"" and ""Banana Banana Meatball,"" is a staple in elementary classrooms?","ClassDojo","GoNoodle","Epic!","Seesaw","B","","Classroom Classics"
"4","11","medium","""The Hokey Pokey"" famously instructs you to put which body part in and out first?","Your right foot","Your whole self","Your left foot","Your right hand","A","","Classroom Classics"
"4","12","medium","In ""She'll Be Comin' 'Round the Mountain,"" how many white horses will she be driving when she comes?","Six","Four","Three","Twelve","A","","Classroom Classics"
"4","13","medium","On Sesame Street, who is the Muppet with the rubber duckie who sings about loving his bath-time companion?","Bert","Elmo","Grover","Ernie","D","","Classroom Classics"
"4","14","medium","Canadian children's entertainer Raffi released which beloved 1980 song about a young white whale?","Ocean Baby","Sweet Beluga","Little Whale","Baby Beluga","D","","Classroom Classics"
"4","15","medium","In ""Mary Had a Little Lamb,"" what color was the lamb's fleece?","Brown as earth","White as snow","Black as coal","Soft as wool","B","","Classroom Classics"
"5","1","easy","Which 1982 Michael Jackson album is the best-selling album of all time?","Bad","Off the Wall","Dangerous","Thriller","D","","80s Hits"
"5","2","easy","Who released the 1984 album ""Like a Virgin,"" which spawned a #1 title track and became a defining 80s album?","Pat Benatar","Belinda Carlisle","Madonna","Cyndi Lauper","C","","80s Hits"
"5","3","easy","What 1981 Journey song opens with ""Just a small town girl, livin' in a lonely world""?","Open Arms","Wheel in the Sky","Don't Stop Believin'","Faithfully","C","","80s Hits"
"5","4","easy","What 1983 Cyndi Lauper hit declares ""girls"" just want to do what?","Have fun","Sing along","Rule the world","Dance tonight","A","","80s Hits"
"5","5","easy","Bon Jovi's 1986 anthem about Tommy and Gina, who are ""halfway there,"" is called what?","Runaway","Livin' on a Prayer","You Give Love a Bad Name","Wanted Dead or Alive","B","","80s Hits"
"5","6","easy","Which Welsh singer's raspy voice made the 1983 ballad ""Total Eclipse of the Heart"" a global #1?","Sheena Easton","Kim Carnes","Bonnie Tyler","Stevie Nicks","C","","80s Hits"
"5","7","medium","Which British duo released ""Careless Whisper"" in 1984 with George Michael on lead vocals?","Pet Shop Boys","Eurythmics","Wham!","Culture Club","C","","80s Hits"
"5","8","medium","Which British rock trio fronted by Sting had a 1983 #1 hit that spent 8 weeks atop the Billboard Hot 100?","The Smiths","Dire Straits","The Clash","The Police","D","","80s Hits"
"5","9","medium","Which 1984 Tina Turner hit marked her solo comeback after leaving her abusive marriage to Ike Turner?","What's Love Got to Do with It","Proud Mary","Private Dancer","The Best","A","","80s Hits"
"5","10","medium","Which British new wave band, named after a Barbarella villain, had the 1982 hit ""Hungry Like the Wolf""?","Spandau Ballet","Duran Duran","The Human League","Visage","B","","80s Hits"
"5","11","medium","Which Australian rock band's 1987 song ""Need You Tonight"" hit #1 on the Billboard Hot 100?","Midnight Oil","Men at Work","Crowded House","INXS","D","","80s Hits"
"5","12","medium","Which 1985 Tears for Fears song opens with ""Welcome to your life, there's no turning back""?","Shout","Mad World","Everybody Wants to Rule the World","Head Over Heels","C","","80s Hits"
"5","13","medium","Whitney Houston recorded the best-selling soundtrack of all time for which 1992 film co-starring Kevin Costner?","The Preacher's Wife","Sparkle","The Bodyguard","Waiting to Exhale","C","","80s Hits"
"5","14","medium","Which 1983 David Bowie album featured the title-track dance hit produced by Nile Rodgers?","Tonight","Let's Dance","Never Let Me Down","Scary Monsters","B","","80s Hits"
"5","15","medium","Which American duo, the best-selling duo in Billboard history, had the 1982 #1 hit ""Maneater""?","The Righteous Brothers","Hall & Oates","Simon & Garfunkel","Sonny & Cher","B","","80s Hits"
"6","1","easy","""Stairway to Heaven"" is the signature song of which legendary British rock band?","Black Sabbath","Uriah Heep","Deep Purple","Led Zeppelin","D","","Classic Rock"
"6","2","easy","""Hotel California"" is a 1976 hit by which American rock band?","Lynyrd Skynyrd","The Doobie Brothers","Fleetwood Mac","The Eagles","D","","Classic Rock"
"6","3","easy","Which British band's 1975 six-minute operatic suite opens with ""Is this the real life? Is this just fantasy?""","T. Rex","Roxy Music","The Kinks","Queen","D","","Classic Rock"
"6","4","easy","""Back in Black"" and ""Highway to Hell"" are hits by which Australian rock band?","AC/DC","Cold Chisel","Airbourne","Jet","A","","Classic Rock"
"6","5","easy","Who was the lead singer of The Doors, famous for ""Light My Fire"" and ""Riders on the Storm""?","Robert Plant","Jim Morrison","Roger Daltrey","Mick Jagger","B","","Classic Rock"
"6","6","easy","""(I Can't Get No) Satisfaction"" is a 1965 hit by which British band?","The Animals","The Rolling Stones","The Hollies","The Beatles","B","","Classic Rock"
"6","7","medium","Which 1969 upstate New York festival featured Jimi Hendrix's famous electric rendition of ""The Star-Spangled Banner""?","Woodstock","Monterey Pop","Altamont","Isle of Wight","A","","Classic Rock"
"6","8","medium","Which 1975 Bruce Springsteen album, named for a New Jersey road metaphor, launched his career with ""Thunder Road""?","Born to Run","Nebraska","The River","Darkness on the Edge of Town","A","","Classic Rock"
"6","9","medium","Which 1974 Lynyrd Skynyrd anthem about a Southern state is a stadium and classic-rock radio staple?","Free Bird","Gimme Three Steps","Sweet Home Alabama","Simple Man","C","","Classic Rock"
"6","10","medium","Which Fleetwood Mac song features Stevie Nicks singing ""Thunder only happens when it's raining""?","Landslide","Go Your Own Way","The Chain","Dreams","D","","Classic Rock"
"6","11","medium","Pete Townshend and Roger Daltrey are core members of which English band known for smashing instruments onstage?","Jethro Tull","Free","The Who","Bad Company","C","","Classic Rock"
"6","12","medium","Which guitarist, nicknamed ""Slowhand,"" was a member of The Yardbirds and Cream before a major solo career?","Jeff Beck","Eric Clapton","Ritchie Blackmore","Peter Green","B","","Classic Rock"
"6","13","medium","Which Aerosmith ballad features the chorus ""Sing with me, sing for the year""?","Sweet Emotion","Walk This Way","Dream On","Crazy","C","","Classic Rock"
"6","14","medium","Which 1973 concept album by Pink Floyd, featuring a prism on its cover, spent more than 900 weeks on the Billboard 200?","Meddle","Animals","The Dark Side of the Moon","Wish You Were Here","C","","Classic Rock"
"6","15","medium","Which 1984 Van Halen #1 hit opens with a now-iconic synth riff and a David Lee Roth shout of ""Might as well ___""?","Panama","Hot for Teacher","Why Can't This Be Love","Jump","D","","Classic Rock"
"7","1","easy","Which Spanish duo had the 1996 mega-hit ""Macarena,"" which spent 14 weeks at #1 on the Billboard Hot 100?","Ricky Martin","Los del Rio","Las Ketchup","Gipsy Kings","B","","One-Hit Wonders"
"7","2","easy","Which 1990 Vanilla Ice hit was the first rap song to top the Billboard Hot 100?","Rapper's Delight","Bust a Move","U Can't Touch This","Ice Ice Baby","D","","One-Hit Wonders"
"7","3","easy","Which Baha Men song asks the titular question about canines escaping — and became a ubiquitous sports stadium anthem?","Get Ready for This","Whoomp! (There It Is)","Who Let the Dogs Out","We Will Rock You","C","","One-Hit Wonders"
"7","4","easy","Korean singer Psy's 2012 viral hit was the first YouTube video to reach 1 billion views. What was it called?","Gangnam Style","Hangover","Daddy","Gentleman","A","","One-Hit Wonders"
"7","5","easy","Which band had the 1982 hit featuring a Celtic fiddle intro, wearing dirty denim overalls, that became a US #1 despite their being an obscure UK group?","Dexys Midnight Runners","Mumford & Sons","Big Country","The Pogues","A","","One-Hit Wonders"
"7","6","easy","Which 1981 Toni Basil cheerleader-themed hit begins ""Oh [name], you're so fine""?","Sherry","Mickey","Betty","Valerie","B","","One-Hit Wonders"
"7","7","medium","Lou Bega's 1999 global smash name-checks a series of women in what numbered song?","96 Tears","Summer of '69","Love Potion No. 9","Mambo No. 5","D","","One-Hit Wonders"
"7","8","medium","Which 1991 Right Said Fred song became a camp anthem about a man too attractive for his clothes?","Deeply Dippy","Up","Don't Talk Just Kiss","I'm Too Sexy","D","","One-Hit Wonders"
"7","9","medium","Which 1979 #1 hit by The Knack — with its infectious ""M-m-m-my…"" hook — became one of the best-selling debut singles ever?","Heart of Glass","My Sharona","Video Killed the Radio Star","Le Freak","B","","One-Hit Wonders"
"7","10","medium","Which British anarchist collective unexpectedly hit #6 on the Billboard Hot 100 in 1997 with ""Tubthumping""?","The Chemical Brothers","The Prodigy","Fatboy Slim","Chumbawamba","D","","One-Hit Wonders"
"7","11","medium","Which 1969 Norman Greenbaum song about going to heaven features a fuzzy distorted guitar?","Incense and Peppermints","In-A-Gadda-Da-Vida","Spirit in the Sky","Crimson and Clover","C","","One-Hit Wonders"
"7","12","medium","Which 1997 Aqua song, a plastic-themed novelty hit, sparked a lawsuit from Mattel?","Doctor Jones","Barbie Girl","Cartoon Heroes","Turn Back Time","B","","One-Hit Wonders"
"7","13","medium","Which 1981 synth-pop one-hit wonder opens with ""Sometimes I feel I've got to run away…""?","Don't You Want Me","Tainted Love","99 Luftballons","Safety Dance","B","","One-Hit Wonders"
"7","14","medium","What 1984 Nena song, originally in German, protests the arms race using red-colored floating objects?","Nur Geträumt","99 Luftballons","Just a Dream","Irgendwie, Irgendwo, Irgendwann","B","","One-Hit Wonders"
"7","15","medium","Which band's 1982 song about a girl named Jenny caused real-world phone chaos as people prank-called the number in its chorus?","The Motels","A Flock of Seagulls","Quarterflash","Tommy Tutone","D","","One-Hit Wonders"
